Country,Abortion_Law_Category,Restriction_Group
Andorra,Prohibited in all circumstances,More restrictive
Argentina,"On request (up to 14 wks, 2020 reform)",Less restrictive
Armenia,On request (≈12 wks),Less restrictive
Bangladesh,Restricted; MR policy exists (law: save life),More restrictive
Bolivia,"Broad grounds (health, rape etc.)",Less restrictive
Brazil,"Very limited (life, rape, anencephaly)",More restrictive
Canada,No criminal restriction (on request),Less restrictive
Chile,"Very limited (life, rape, inviability)",More restrictive
China,On request (policy discouragement ≠ ban),Less restrictive
Colombia,On request (to 24 wks) + grounds (2022),Less restrictive
Cyprus,On request (up to 12 wks),Less restrictive
Czechia,On request (up to 12 wks),Less restrictive
Germany,"On request (up to 12 wks, counselling)",Less restrictive
Ecuador,"Limited grounds (rape, life/health)",More restrictive
Egypt,Prohibited except to save life,More restrictive
Ethiopia,"Broad grounds (rape, incest, minor, health)",Less restrictive
Great Britain,On request via broad grounds (up to 24 wks),Less restrictive
Greece,On request (up to 12 wks),Less restrictive
Guatemala,Prohibited except to save life,More restrictive
Hong Kong,Broad health grounds (up to 24 wks),Less restrictive
Indonesia,Limited (rape up to 6 wks; health),More restrictive
India,"Broad grounds (MTP Act, up to 24 wks)",Less restrictive
Iran,Limited (life/health; specific conditions),More restrictive
Iraq,Prohibited except to save life,More restrictive
Jordan,Prohibited except to save life,More restrictive
Japan,Socioeconomic/health grounds,Less restrictive
Kazakhstan,On request (up to 12 wks),Less restrictive
Kenya,Limited (life/health; judicial ambiguity),More restrictive
Kyrgyzstan,On request (up to 12 wks),Less restrictive
South Korea,Decriminalized 2021; interim liberal access,Less restrictive
Lebanon,Prohibited except to save life,More restrictive
Libya,Prohibited except to save life,More restrictive
Macao,"Limited (life/health, rape)",More restrictive
Maldives,"Limited (life/health, rape/incest)",More restrictive
Mexico,Mixed; decriminalization expanding,Less restrictive
Myanmar,Prohibited except to save life,More restrictive
Mongolia,On request (up to 12 wks),Less restrictive
Morocco,Prohibited except to save life,More restrictive
Malaysia,Limited (physical/mental health),More restrictive
Nigeria,Prohibited except to save life,More restrictive
Nicaragua,Prohibited in all circumstances,More restrictive
Northern Ireland,On request (2019–2020 reform),Less restrictive
Netherlands,On request (up to 24 wks; viability),Less restrictive
New Zealand,On request (2020 reform),Less restrictive
Pakistan,Limited (to save life / necessary treatment),More restrictive
Peru,Prohibited except to save life/health,More restrictive
Philippines,Prohibited in all circumstances,More restrictive
Puerto Rico,On request (US territory),Less restrictive
Romania,On request (up to ~14 wks),Less restrictive
Russian Federation,On request (up to 12 wks),Less restrictive
Singapore,On request (up to 24 wks; conditions),Less restrictive
Serbia,On request (up to 10–12 wks),Less restrictive
Slovakia,On request (up to 12 wks),Less restrictive
Thailand,On request (to 12 wks; to 20 wks with conditions),Less restrictive
Tajikistan,Broad grounds (socio-medical lists),Less restrictive
Tunisia,On request (up to 12 wks),Less restrictive
Turkey,On request (up to 10 wks),Less restrictive
Taiwan,Broad grounds (incl. socioeconomic),Less restrictive
Ukraine,On request (up to 12 wks),Less restrictive
Uruguay,On request (up to 12 wks),Less restrictive
United States,Mixed (post-Dobbs state-level),Less restrictive
Uzbekistan,On request (up to 12 wks),Less restrictive
Venezuela,Prohibited except to save life,More restrictive
Vietnam,On request (to ~22 wks),Less restrictive
Zimbabwe,"Limited (life/health, rape/incest)",More restrictive
