Country,communism_any
Andorra,0
Argentina,0
Australia,0
Armenia,1
Bangladesh,0
Bolivia,0
Brazil,0
Canada,0
Chile,0
China,1
Colombia,0
Cyprus,0
Czechia,1
Ecuador,0
Egypt,0
Ethiopia,0
Germany,1
Greece,0
Great Britain,0
Guatemala,0
Hong Kong SAR,0
India,0
Indonesia,0
Iran,0
Iraq,0
Japan,0
Jordan,0
Kazakhstan,1
Kenya,0
Kyrgyzstan,1
Lebanon,0
Libya,0
Macau SAR,0
Malaysia,0
Maldives,0
Mexico,0
Mongolia,1
Morocco,0
Myanmar,0
Netherlands,0
New Zealand,0
Nicaragua,0
Nigeria,0
Northern Ireland,0
Pakistan,0
Peru,0
Philippines,0
Puerto Rico,0
Romania,0
Russia,1
Serbia,1
Singapore,1
Slovakia,0
South Korea,1
Taiwan ROC,0
Tajikistan,0
Thailand,1
Tunisia,0
Turkey,0
Ukraine,0
United States,1
Uruguay,0
Uzbekistan,0
Venezuela,1
Vietnam,0
Zimbabwe,1
