Country,HDI
Germany,0.959
Australia,0.958
Netherlands,0.955
Singapore,0.946
Canada,0.939
New Zealand,0.938
United States,0.938
Japan,0.925
Czechia,0.915
Andorra,0.913
Cyprus,0.913
Greece,0.908
Slovakia,0.88
Chile,0.878
Argentina,0.865
Uruguay,0.862
Romania,0.845
Kazakhstan,0.837
Serbia,0.833
Malaysia,0.819
Armenia,0.811
Thailand,0.798
China,0.797
Peru,0.794
Mexico,0.789
Colombia,0.788
Brazil,0.786
Ukraine,0.779
Ecuador,0.777
Maldives,0.766
Egypt,0.754
Jordan,0.754
Lebanon,0.752
Mongolia,0.747
Tunisia,0.746
Uzbekistan,0.74
Indonesia,0.728
Libya,0.721
Kyrgyzstan,0.72
Philippines,0.72
Morocco,0.71
Nicaragua,0.706
Iraq,0.695
Tajikistan,0.691
Bangladesh,0.685
India,0.685
Guatemala,0.662
Kenya,0.628
Myanmar,0.609
Zimbabwe,0.598
Nigeria,0.56
Pakistan,0.544
Ethiopia,0.497
