Country,Legal_index
Andorra,75
Argentina,88
Australia,92
Armenia,40
Bangladesh,10
Bolivia,55
Brazil,80
Canada,95
Chile,83
China,35
Colombia,78
Cyprus,82
Czechia,84
Ecuador,72
Egypt,20
Ethiopia,25
Germany,93
Greece,85
Great Britain,92
Guatemala,40
Hong Kong SAR,70
India,60
Indonesia,35
Iran,15
Iraq,10
Japan,87
Jordan,30
Kazakhstan,45
Kenya,25
Kyrgyzstan,20
Lebanon,30
Libya,15
Macau SAR,70
Malaysia,35
Maldives,20
Mexico,82
Mongolia,55
Morocco,25
Myanmar,18
Netherlands,99
New Zealand,95
Nicaragua,40
Nigeria,10
Northern Ireland,92
Pakistan,25
Peru,65
Philippines,55
Puerto Rico,75
Romania,70
Russia,25
Serbia,60
Singapore,90
Slovakia,85
South Korea,88
Taiwan ROC,92
Tajikistan,22
Thailand,75
Tunisia,45
Turkey,80
Ukraine,95
United States,90
Uruguay,92
Uzbekistan,30
Venezuela,55
Vietnam,65
Zimbabwe,20
