Series Name,Series Code,Country Name,Country Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Andorra,AND,88.15,88.062,87.984,87.916,87.858,87.811
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Argentina,ARG,91.749,91.87,91.991,92.111,92.229,92.347
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Australia,AUS,85.904,86.012,86.124,86.241,86.362,86.488
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bangladesh,BGD,35.858,36.632,37.405,38.177,38.946,39.711
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bolivia,BOL,69.08,69.425,69.773,70.123,70.475,70.83
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Brazil,BRA,86.309,86.569,86.824,87.073,87.317,87.555
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Canada,CAN,81.35,81.411,81.482,81.562,81.653,81.752
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Chile,CHL,87.49,87.564,87.643,87.727,87.817,87.912
Urban population (% of total population),SP.URB.TOTL.IN.ZS,China,CHN,57.96,59.152,60.308,61.428,62.512,63.56
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Colombia,COL,80.446,80.778,81.104,81.425,81.74,82.05
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cyprus,CYP,66.836,66.81,66.805,66.821,66.856,66.911
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Czechia,CZE,73.675,73.792,73.921,74.061,74.214,74.377
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ecuador,ECU,63.67,63.821,63.986,64.166,64.361,64.57
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Egypt, Arab Rep.",EGY,42.705,42.704,42.73,42.783,42.862,42.967
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ethiopia,ETH,20.31,20.763,21.225,21.695,22.174,22.661
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Germany,DEU,77.261,77.312,77.376,77.453,77.544,77.648
