code,country,year,ВВП на душу населения (того же года)
AND,Andorra,2018,42819.7745797624
ARG,Argentina,2017,14532.5009308511
ARM,Armenia,2021,4685.17997128509
BGD,Bangladash,2018,1965.24372731467
BOL,Bolivia,2017,3306.30301176558
BRA,Brazil,2018,9300.66164936497
CAN,Canada,2020,43537.839298904
CHL,Chile,2018,15659.4808675628
CHN,China,2018,9905.40638304527
COL,Colombia,2018,6816.96818309544
CYP,Cyprus,2019,29703.052734375
CZE,Czechia,2022,28282.2236715857
DEU,Germany,2018,48874.8595028454
ECU,Ecuador,2018,6303.91892523596
EGY,Egypt,2018,2484.70315630508
ETH,Ethiopia,2020,905.313175805855
GBR,Great Britain,2022,45935.9276473925
GRC,Greece,2017,18631.9930129293
GTM,Guatemala,2020,4477.61761796418
HKG,Hong Kong,2018,48537.5668888343
IDN,Indonesia,2018,3860.95353077708
IND,India,2023,
IRN,Iran,2020,2988.78122414716
IRQ,Iraq,2018,5646.68932074742
JOR,Jordan,2018,4145.43989673265
JPN,Japan,2019,40415.9567649547
KAZ,Kazakhstan,2018,9472.48527327758
KEN,Kenya,2021,2061.35622089594
KGZ,Kyrgyzstan,2020,1229.51775742135
KOR,South Korea,2018,33447.1562836166
LBN,Lebanon,2018,9174.53666204759
LBY,Libya,2022,5986.63694851258
MAC,Macao,2019,81967.699172769
MDV,Maldives,2021,10176.143882547
MEX,Mexico,2018,10084.7937562021
MMR,Myanmar,2020,1490.21683548367
MNG,Mongolia,2020,4001.25193077703
MOR,Morocco,2021,3785.93627929688
MYS,Malaysia,2018,10901.8019954421
NGA,Nigeria,2018,2057.87944554011
NIC,Nicaragua,2020,1931.61515811642
NIR,Northern Ireland,2022,45935.9276473925
NLD,Netherlands,2022,59123.318556487
NZL,New Zealand,2020,41785.6922905898
PAK,Pakistan,2018,1569.33814626355
PER,Peru,2018,6978.49121548627
PHL,Philippines,2019,3400.78949772302
PRI,Puerto Rico,2018,31615.0667918433
ROU,Romania,2018,12502.2624061935
RUS,Russian Federation,2017,10658.9130859375
SGP,Singapore,2020,61466.803676358
SRB,Serbia,2017,6548.03653824187
SVK,Slovakia,2022,21342.7666714692
THA,Thailand,2018,7099.77650081458
TJK,Tajikistan,2020,834.311715460625
TUN,Tunisia,2019,3528.87213306798
TUR,Turkey,2018,9568.83506330228
TWN,Taiwan,2019,
UKR,Ukraine,2020,3709.76928710938
URY,Uruguay,2022,20691.9738991763
USA,United States,2017,60322.2614241747
UZB,Uzbekistan,2022,2578.66689394219
VEN,Venezuela,2021,
VNM,Vietnam,2020,3534.03953482647
ZWE,Zimbabwe,2020,1730.41348946953
